gene,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches
ENPP2,True,0.03821283562935214,1.494762520620496,1.098715,5
AP005717.2,True,0.011002348376501412,1.3178534979103835,0.56106794,3
MTBP,True,0.2470906987798201,1.4959568151559903,0.96377736,4
AC068413.1,True,0.008330401978238585,1.7051334296568814,1.6917193,7
FER1L6-AS1,True,0.0014647620511922485,1.2016888711720797,0.72234786,3
FER1L6-AS2,True,0.004765862319520238,1.7370188637318933,1.7887623,6
AC090921.1,True,0.028379434659458858,1.4562527506060567,1.015448,3
MTSS1,True,1.3813509304499871,2.438191150539706,2.1119277,9
AC016074.2,True,0.32198615289754107,1.6623487282843812,1.2421911,5
LINC00861,True,0.7167249618033702,1.7454965530439908,1.0190278,4
PCAT1,True,1.0431886962757704,2.5767647610419617,3.1439378,10
AC024382.1,True,0.06591693240874638,1.5989316242388079,1.4629866,5
CASC19,True,0.10769839974478257,1.5795861642980062,1.3707206,7
CASC8,True,0.10547474587016128,1.7435274662306135,1.7811811,9
AC104370.1,True,0.02043735090675289,1.5263435261987264,1.1714864,5
PVT1,True,0.8656392205231013,1.82134889332398,1.0335158,4
LINC00824,True,0.05457083671907735,1.5719112369260138,1.2524834,6
CCDC26,True,0.1598879108929855,2.1121038611402794,2.8943174,9
KCNQ3,True,0.02685223438238682,1.8885479401762137,2.1567798,9
AC105180.2,True,0.04057953233495342,1.5490879080362376,1.2020355,3
ZFAT,True,0.40096418475595763,1.7856996270916885,1.6098815,6
KHDRBS3,True,0.019597448813812673,1.4632887178111103,1.0007647,4
LINC02055,True,0.10820548591546272,1.6177512181996287,1.2435932,3
PTK2,True,0.5229918056302685,1.7087009662028465,1.0643015,4
ARHGAP39,True,0.0062198209974406865,1.4149211552725882,0.9267292,3
ZNF16,True,0.10895283739645212,1.6052301790707335,1.4052376,7
KANK1,True,0.31921597771618676,2.080340369404194,2.6143277,10
VLDLR-AS1,True,0.007449189715400451,1.5762283774245471,1.388416,6
RFX3-AS1,True,0.7675309440502344,1.8347976021443337,1.2070593,5
GLIS3,True,0.14518997500650327,2.0255014160070033,2.596524,10
SLC1A1,True,0.022636484644802096,1.6796595387014637,1.6192017,7
SPATA6L,True,0.07537781452391032,1.5682633810364128,1.2951442,7
PLGRKT,True,0.18521079333552612,1.5307735362484163,1.2093637,5
PTPRD,True,0.04908557094503564,1.4446813224930108,0.90481716,3
FREM1,True,0.004784314654308942,1.4613529940419545,1.004557,4
CCDC171,True,0.14939080123672924,1.7086786094632678,1.6325419,10
C9orf92,True,0.012360811754567502,1.743407595674002,1.7487967,7
BNC2,True,0.5231531081330787,2.7551963470602323,4.804226,10
SAXO1,True,0.04151959157234855,1.4900504788066418,1.0756449,4
ACER2,True,0.059880469094129384,1.560943779314059,1.2764168,5
MLLT3,True,1.328544183993134,2.416734035778364,2.1272707,10
MIR31HG,True,0.03220998517711212,1.6564269883588092,1.5338188,7
CDKN2B-AS1,True,0.16624813644407568,1.5109932967797939,1.1550695,5
MOB3B,True,0.42095851401736056,1.7585168289964532,1.4865308,5
LINGO2,True,0.590952098324237,3.503157142481301,7.1321564,10
C9orf24,True,0.019511734576284863,1.3190996153404546,0.60402364,3
RECK,True,0.2653463942785432,1.54336372522998,1.0817534,4
PAX5,True,0.4260401004190625,2.5342101118341676,3.8437467,9
CNTNAP3,True,0.003911169513477114,1.4670491259628324,0.9176427,3
PIP5K1B,True,0.2723866523108753,1.7205961134362098,1.5920202,8
APBA1,True,0.05826299905230777,1.5598971955765204,1.2759441,6
