names,scores,logfoldchanges,pvals,pvals_adj
TRPS1,21.791988,0.40661332,2.7638615854851913e-105,4.3982651256671085e-103
CMIP,21.787304,0.3597064,3.0615783224169425e-105,4.850944942804438e-103
ITGAL,21.762066,0.44267732,5.310232328616293e-105,8.377578166365731e-103
MAP3K20,21.740057,0.6299631,8.579207861201112e-105,1.3476720469005232e-102
PILRA,21.727278,0.67200565,1.1332281529514754e-104,1.7725334882981604e-102
RAB10,21.645666,0.41037896,6.677073277500915e-104,1.0399470597013234e-101
CTSD,21.643269,0.587261,7.033665927947852e-104,1.0908440958848277e-101
FCGR2A,21.601044,0.95608145,1.7560555351090153e-103,2.7119573266044333e-101
SRGAP2B,21.568434,0.6851853,3.5552330547773776e-103,5.46744054781121e-101
TFEC,21.5627,0.967216,4.024336695093037e-103,6.162960141301265e-101
ADA2,21.558378,0.58173245,4.418277713006052e-103,6.738057607238938e-101
PID1,21.538969,0.7269171,6.718582702213464e-103,1.0203603547042115e-100
MAP3K1,21.483826,0.3229952,2.2057017286271537e-102,3.30864299055256e-100
SLC9A9,21.467737,0.39335266,3.1184076341110115e-102,4.658646441473352e-100
MPEG1,21.414692,0.69151515,9.74880436148761e-102,1.4504714977024716e-99
TBC1D8,21.392946,0.7014533,1.5542331019579907e-101,2.3030965896665757e-99
CST3,21.32718,0.61102265,6.352264801479268e-101,9.374969516086399e-99
CBL,21.243633,0.49705243,3.7752513095482846e-100,5.52711892723107e-98
RNF144B,21.196196,0.5270602,1.035359861230488e-99,1.503778027019726e-97
MANBA,21.188972,0.3994766,1.2070408884487644e-99,1.7462017216645544e-97
MED13L,21.12149,0.25268158,5.047672844908875e-99,7.273617078602746e-97
TNFSF10,21.11959,0.8427915,5.254750998836387e-99,7.542319266996495e-97
MYOF,21.110659,1.0678362,6.3481296203690825e-99,9.076089540434718e-97
AGO4,20.998785,0.47309804,6.728499093153408e-98,9.582482307724043e-96
COP1,20.977922,0.24539128,1.0435505902163469e-97,1.4804261687018802e-95
AGTPBP1,20.90535,0.31945473,4.786762394987356e-97,6.76448997756495e-95
SHTN1,20.881048,0.7802942,7.962576821964978e-97,1.1209164394643852e-94
BMP2K,20.818403,0.5020515,2.948517133908499e-96,4.1348151577848643e-94
IFNGR2,20.802395,0.45922396,4.117327396245064e-96,5.751843512594105e-94
PTPRC,20.763126,0.14640148,9.329647382931819e-96,1.2983818397820817e-93
MICU1,20.721872,0.46866938,2.19967640378039e-95,3.038126643576078e-93
CTSB,20.699482,0.5462543,3.5011910554393976e-95,4.817559918050278e-93
DYSF,20.646183,1.0554951,1.05644086171135e-94,1.4427907455036239e-92
CSF2RA,20.60126,0.6693917,2.674040849326043e-94,3.6383854693748144e-92
RTN3,20.600735,0.5806043,2.703094061254893e-94,3.664294286518161e-92
MARCH1,20.600142,0.46225533,2.7363826708937127e-94,3.695732182191172e-92
ITGB2,20.588692,0.40289405,3.4659943032136067e-94,4.6639285842618095e-92
SLC24A4,20.571299,0.8304206,4.961948112926674e-94,6.652463841803267e-92
ARRB2,20.520718,0.48821265,1.4062180822778945e-93,1.8715995647073895e-91
AP1S2,20.501457,0.55402213,2.089399408937988e-93,2.7708010060340325e-91
SAMD9L,20.489414,0.8821723,2.6759015397346236e-93,3.5357643413655944e-91
ZNF438,20.481195,0.59598637,3.16786696935745e-93,4.1707589548723754e-91
SLC39A11,20.441185,0.40332842,7.197029186453257e-93,9.441522052092317e-91
APBB1IP,20.437572,0.30052575,7.749953596544458e-93,1.0130573270968704e-90
IRF7,20.436806,4.1087713,7.872690117787149e-93,1.025438900359884e-90
RPS6KC1,20.397995,0.42745325,1.7421622154117625e-92,2.2452422269818984e-90
UBE2D1,20.310572,0.61715186,1.0369173864469764e-91,1.3270004636834189e-89
APOL6,20.283133,0.502653,1.812180841189952e-91,2.311067281128691e-89
