names,scores,logfoldchanges,pvals,pvals_adj,-log10_padj,significant
LRRK1,19.10186,0.70111567,2.436519036451368e-81,2.5552731591162325e-79,78.59256266689687,True
ANKS1A,19.09061,0.5060885,3.02217808664828e-81,3.1604211471261064e-79,78.5002550408987,True
CEBPD,19.029675,0.5464845,9.68534266743884e-81,1.0042301047335098e-78,77.99816676351966,True
GCA,18.998953,0.593258,1.739815168103572e-80,1.7887352519033383e-78,77.74745393396923,True
TNRC18,18.989862,0.532719,2.0687049668803342e-80,2.1209151398539808e-78,77.6734767077354,True
MARCKS,18.98004,0.6430145,2.494062572050772e-80,2.5498654804366003e-78,77.59348273040726,True
GLUL,18.947472,0.61322683,4.6330812444342306e-80,4.723548931129171e-78,77.32573158143843,True
TLR4,18.926682,0.73394215,6.875999536366508e-80,6.990790528626404e-78,77.15547371083403,True
S100Z,18.913946,0.87760043,8.755215649465235e-80,8.87672155086086e-78,77.05174740305777,True
IFIT3,18.851948,5.380064,2.832205617697534e-79,2.855690297888359e-77,76.54428889395864,True
CNTLN,18.786674,0.86178076,9.707425542025896e-79,9.707690772231962e-77,76.01288406609085,True
GLIPR2,18.735817,0.5275304,2.527284633403245e-78,2.5204671625937923e-76,75.59851895630844,True
GASK1B,18.722027,1.0023785,3.274459222805071e-78,3.2567522286382716e-76,75.48721528098943,True
APOBEC3A,18.63038,1.1809559,1.8222066088565784e-77,1.7928651637300975e-75,74.74645237125763,True
SUSD1,18.546762,0.51499486,8.661317990900499e-77,8.408830233022524e-75,74.07526441545986,True
KDM1B,18.50925,0.6007901,1.738999957817751e-76,1.674977301475987e-74,73.77599107394686,True
FKBP15,18.448933,0.6239393,5.3185645032827315e-76,5.082631315526143e-74,73.29391139205605,True
CCR1,18.309725,0.8898081,6.921756874929713e-75,6.462837331104654e-73,72.18957677508347,True
ANKRD13D,18.279016,0.50561243,1.2160099643957709e-74,1.1324982368155117e-72,71.9459624654669,True
CHST15,18.223381,0.53574663,3.3669741875610898e-74,3.111985410073825e-72,71.50696244778109,True
ANKFY1,18.193148,0.5366257,5.848277381980745e-74,5.364731841049554e-72,71.27045198159422,True
GPD2,18.141327,0.5060872,1.5035732140661912e-73,1.3758070802009165e-71,70.8614424599073,True
RXRA,18.094002,0.66637737,3.5532749306975966e-73,3.235159595484148e-71,70.49010429004058,True
NACC2,18.034388,0.6239661,1.0464862551797905e-72,9.504328393507571e-71,70.02207856636285,True
FLVCR2,17.73718,0.6751224,2.165318116284636e-70,1.942470793483675e-68,67.71164550242369,True
GCH1,17.70624,0.6287261,3.753272262682764e-70,3.350573611864679e-68,67.47488083620428,True
SIRPB2,17.65284,0.7465832,9.676564886043656e-70,8.575592043440286e-68,67.06673588734077,True
ITSN1,17.637943,0.84308404,1.2596291064687356e-69,1.1136155779193766e-67,66.9532647025206,True
SNX10,17.590229,0.50135803,2.9269497611470325e-69,2.5752232742245804e-67,66.58918511125968,True
GRN,17.485672,0.6489555,1.8422957871242379e-68,1.5978641730932285e-66,65.79646014078124,True
TIMP2,17.426054,0.6176888,5.233482807358827e-68,4.5070753936974225e-66,65.34610517705374,True
PLAUR,17.3932,0.5328347,9.290098543657428e-68,7.963159175559848e-66,65.09891460307615,True
CR1,17.38104,0.7652321,1.1485042296150158e-67,9.798695409822656e-66,65.0088317420657,True
EHBP1L1,17.213474,0.58110887,2.104237432890215e-66,1.7664494101196044e-64,63.752898795942414,True
FAM20A,17.211521,1.1203728,2.1763966560944653e-66,1.818682511637295e-64,63.7402431093359,True
CAMKK2,17.191132,0.627194,3.0943469339153115e-66,2.5798677022376842e-64,63.58840256444813,True
NRG1,16.939669,1.2223971,2.2941646539273743e-64,1.845466384580128e-62,61.73389386112902,True
FGD2,16.906895,1.1036788,4.002544697143407e-64,3.1847204013075183e-62,61.496928690016055,True
