Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Integration Of Energy Metabolism R-HSA-163685,3/105,0.0157404409875109,0.084810435768529,0,0,6.003032140691328,24.92172011518436,GNAQ;CD36;PLCB1
Reactome_2022,Translesion Synthesis By Y Family DNA Polymerases Bypasses Lesions On DNA Template R-HSA-110313,2/39,0.0162624064321538,0.0863342459118754,0,0,10.955874241588528,45.126141525786544,TRIM25;ISG15
Reactome_2022,"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",8/660,0.017610300099173,0.0921350483449487,0,0,2.5670845558815683,10.369151010297353,CPNE8;DOCK5;FGD4;NCF2;EPSTI1;CYBB;SRGAP2;ARHGAP26
Reactome_2022,MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058,3/112,0.0186665018739365,0.0938301944365737,0,0,5.615530123900501,22.35556415568353,IRAK3;CD36;TLR2
Reactome_2022,NS1 Mediated Effects On Host Pathways R-HSA-168276,2/42,0.0187140554000922,0.0938301944365737,0,0,10.13265306122449,40.31256172341721,EIF2AK2;ISG15
Reactome_2022,Signaling By SCF-KIT R-HSA-1433557,2/42,0.0187140554000922,0.0938301944365737,0,0,10.13265306122449,40.31256172341721,STAT1;JAK2
Reactome_2022,Signaling By NOTCH R-HSA-157118,4/203,0.0189765687901938,0.0938430319624657,0,0,4.125,16.35376991501514,NOTCH2;STAT1;NUMB;MAML3
Reactome_2022,"Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988",2/44,0.0204294838615153,0.0996627523514463,0,0,9.649173955296405,37.54277574025534,HCK;JAK2
Reactome_2022,Infectious Disease R-HSA-5663205,10/961,0.0218977026191026,0.1054009419399472,0,0,2.2139268606145577,8.460241548778955,HCK;RNF213;STAT1;TRIM25;EIF2AK2;ISG15;PARP14;JAK2;IL17RA;TLR2
Reactome_2022,PLC Beta Mediated Events R-HSA-112043,2/47,0.0231205576171507,0.1094044298784852,0,0,9.004535147392291,33.92038210413699,GNAQ;PLCB1
Reactome_2022,Rab Regulation Of Trafficking R-HSA-9007101,3/122,0.0233355709159096,0.1094044298784852,0,0,5.141037858442346,19.318870909741264,DENND1A;SBF2;RIN2
Reactome_2022,DNA Damage Bypass R-HSA-73893,2/48,0.0240483300532171,0.1100221832243115,0,0,8.808340727595386,32.83476119194659,TRIM25;ISG15
Reactome_2022,Ficolins Bind To Repetitive Carbohydrate Structures On Target Cell Surface R-HSA-2855086,1/5,0.0247535287182936,0.1100221832243115,0,0,50.24242424242424,185.83603697375267,FCN1
Reactome_2022,Defective LFNG Causes SCDO3 R-HSA-5083630,1/5,0.0247535287182936,0.1100221832243115,0,0,50.24242424242424,185.83603697375267,NOTCH2
Reactome_2022,Platelet Degranulation R-HSA-114608,3/125,0.0248487630651257,0.1100221832243115,0,0,5.013858374176103,18.52594248094429,SRGN;PECAM1;CD36
Reactome_2022,Signaling By NOTCH3 R-HSA-9012852,2/49,0.0249911884332231,0.1100221832243115,0,0,8.620495006513243,31.803005852102093,STAT1;MAML3
Reactome_2022,Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,3/130,0.0274860097045577,0.1174263793240839,0,0,4.81524474389155,17.306365881326172,SRGN;PECAM1;CD36
Reactome_2022,G-protein Mediated Events R-HSA-112040,2/52,0.0279085775805053,0.1174263793240839,0,0,8.10204081632653,28.995755414400413,GNAQ;PLCB1
Reactome_2022,RHOD GTPase Cycle R-HSA-9013405,2/52,0.0279085775805053,0.1174263793240839,0,0,8.10204081632653,28.995755414400413,CPNE8;ARHGAP26
Reactome_2022,FLT3 Signaling Thru SRC Family Kinases R-HSA-9706374,1/6,0.0296309633944118,0.1174263793240839,0,0,40.19191919191919,141.432767389918,HCK
Reactome_2022,Suppression Of Apoptosis R-HSA-9635465,1/6,0.0296309633944118,0.1174263793240839,0,0,40.19191919191919,141.432767389918,RNF213
Reactome_2022,PTK6 Promotes HIF1A Stabilization R-HSA-8857538,1/6,0.0296309633944118,0.1174263793240839,0,0,40.19191919191919,141.432767389918,LRRK2
Reactome_2022,Pre-NOTCH Processing In Endoplasmic Reticulum R-HSA-1912399,1/6,0.0296309633944118,0.1174263793240839,0,0,40.19191919191919,141.432767389918,NOTCH2
Reactome_2022,Scavenging By Class B Receptors R-HSA-3000471,1/6,0.0296309633944118,0.1174263793240839,0,0,40.19191919191919,141.432767389918,CD36
Reactome_2022,RHOJ GTPase Cycle R-HSA-9013409,2/54,0.029925836282038,0.1174263793240839,0,0,7.789638932496075,27.33410071093129,CPNE8;ARHGAP26
Reactome_2022,Interleukin-12 Family Signaling R-HSA-447115,2/54,0.029925836282038,0.1174263793240839,0,0,7.789638932496075,27.33410071093129,STAT1;JAK2
Reactome_2022,Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016,3/140,0.0331909659721763,0.128338288261337,0,0,4.4615095191511775,15.19357050372498,IRAK3;CD36;TLR2
Reactome_2022,Inactivation Of CDC42 And RAC1 R-HSA-428543,1/7,0.0344842492004146,0.128338288261337,0,0,33.49158249158249,112.77461836050252,SRGAP2
Reactome_2022,Modulation By Mtb Of Host Immune System R-HSA-9637628,1/7,0.0344842492004146,0.128338288261337,0,0,33.49158249158249,112.77461836050252,TLR2
Reactome_2022,Erythropoietin Activates Phospholipase C Gamma (PLCG) R-HSA-9027277,1/7,0.0344842492004146,0.128338288261337,0,0,33.49158249158249,112.77461836050252,JAK2
Reactome_2022,Erythropoietin Activates STAT5 R-HSA-9027283,1/7,0.0344842492004146,0.128338288261337,0,0,33.49158249158249,112.77461836050252,JAK2
Reactome_2022,Pre-NOTCH Transcription And Translation R-HSA-1912408,2/62,0.0385451967593685,0.1351635714180229,0,0,6.748299319727892,21.97194825947037,NOTCH2;MAML3
Reactome_2022,"Platelet Activation, Signaling And Aggregation R-HSA-76002",4/254,0.0386888460574184,0.1351635714180229,0,0,3.275,10.650967890593463,SRGN;GNAQ;PECAM1;CD36
Reactome_2022,Lectin Pathway Of Complement Activation R-HSA-166662,1/8,0.0393135041520565,0.1351635714180229,0,0,28.705627705627705,92.8967850071638,FCN1
Reactome_2022,Linoleic Acid (LA) Metabolism R-HSA-2046105,1/8,0.0393135041520565,0.1351635714180229,0,0,28.705627705627705,92.8967850071638,ACSL1
Reactome_2022,"Defective CHST14 Causes EDS, Musculocontractural Type R-HSA-3595174",1/8,0.0393135041520565,0.1351635714180229,0,0,28.705627705627705,92.8967850071638,VCAN
Reactome_2022,Defective CHST3 Causes SEDCJD R-HSA-3595172,1/8,0.0393135041520565,0.1351635714180229,0,0,28.705627705627705,92.8967850071638,VCAN
